target_domain,ip_address,provider,organization,data_center_location,lat,lon,university_name,campus_lat,campus_lon
rhul.ac.uk,20.90.134.23,Microsoft Corporation,Microsoft Azure App Service (uksouth),"City of London, United Kingdom",51.5113,-0.079212,Royal Holloway University of London,51.4244496,-0.5642554
port.ac.uk,3.248.71.106,Amazon Technologies Inc.,AWS EC2 (eu-west-1),"Dublin, Ireland",53.3498,-6.26031,University of Portsmouth,50.795245,-1.0935529
futureworks.ac.uk,141.193.213.10,"Cloudflare London, LLC","WPEngine, Inc.","Austin, United States",30.2681,-97.7462,Futureworks,53.4822728,-2.2533851
arts.ac.uk,195.194.146.196,Jisc Services Limited,University of the Arts London,"Stockton-on-Tees, United Kingdom",54.571,-1.316,University of the Arts London,51.5176865,-0.1163373
abdn.ac.uk,139.133.1.4,Jisc Services Limited,University of Aberdeen,"Aberdeen, United Kingdom",57.1453,-2.0945,University of Aberdeen,57.1645248,-2.1018364
aber.ac.uk,104.18.22.171,"Cloudflare, Inc.","Cloudflare, Inc.","Toronto, Canada",43.6532,-79.3832,Aberystwyth University,52.4337863,-4.0194512
abertay.ac.uk,20.108.144.58,Microsoft Corporation,Microsoft Azure Cloud (uksouth),"City of London, United Kingdom",51.5113,-0.079212,University of Abertay Dundee,56.4632546,-2.9744981
aiuniv.edu,45.60.201.133,Incapsula Inc,Incapsula Inc,"Chicago, United States",41.8781,-87.6298,American InterContinental University - London,,
anglia.ac.uk,20.90.134.21,Microsoft Corporation,Microsoft Azure App Service (uksouth),"City of London, United Kingdom",51.5113,-0.079212,Anglia Ruskin University,52.2033882,0.1350226
aston.ac.uk,3.8.109.248,Amazon Technologies Inc.,AWS EC2 (eu-west-2),"London, United Kingdom",51.5074,-0.127758,Aston University,52.4861905,-1.8884689
aul.edu,64.41.87.214,"Ntirety, Inc.","Ntirety, Inc.","Shirley, United States",40.8015,-72.8676,The American University in London,,
bangor.ac.uk,52.17.79.56,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"Dublin, Ireland",53.3498,-6.26031,"University of Wales, Bangor",53.2310651,-4.1271415
bath.ac.uk,138.38.0.49,Bath University,University of Bath,"Bath, United Kingdom",51.3735,-2.3594,University of Bath,51.3766938,-2.3234206
bath.ac.uk,138.38.0.49,Bath University,University of Bath,"Bath, United Kingdom",51.3735,-2.3594,University of Bath,51.3766938,-2.3234206
bathspa.ac.uk,75.2.69.182,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Seattle, United States",47.4815,-122.246,Bath Spa University,51.374858,-2.4387146
bbk.ac.uk,13.41.116.211,Amazon Technologies Inc.,AWS EC2 (eu-west-2),"London, United Kingdom",51.5074,-0.127758,"Birkbeck College, University of London",51.5218449,-0.1302155
bcom.ac.uk,85.92.70.189,UKNOC-RT,UKDedicated Ltd,"Worcester, United Kingdom",52.2151,-2.21902,British College of Osteopathic Medicine,,
bcu.ac.uk,51.140.245.89,Microsoft Corporation,Microsoft Azure App Service (ukwest),"Cardiff, United Kingdom",51.481785,-3.178065,Birmingham City University,52.4822706,-1.8888148
beds.ac.uk,35.71.135.125,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Montreal, Canada",45.5019,-73.5674,University of Bedfordshire,51.8777325,-0.4100517
bham.ac.uk,147.188.128.127,University of Birmingham,The University of Birmingham,"Birmingham, United Kingdom",52.4425,-1.9442,University of Birmingham,52.4522956,-1.9312857
bolton.ac.uk,193.63.49.33,Jisc Services Limited,The University of Bolton,"Birmingham, United Kingdom",52.4356,-1.8733,University of Bolton,53.5714258,-2.4264783
